iter	Passed	Remaining
238	884	2816
239	887	2809
240	889	2801
241	891	2793
242	894	2785
243	896	2777
244	900	2774
245	902	2766
246	904	2758
247	906	2749
248	909	2741
249	912	2738
250	916	2735
251	919	2727
252	920	2719
253	923	2711
254	925	2702
255	927	2696
256	930	2689
257	932	2681
258	936	2678
259	938	2672
260	944	2673
261	947	2667
262	949	2659
263	951	2651
264	953	2643
265	955	2636
266	958	2630
267	960	2623
268	962	2615
269	964	2607
270	966	2600
271	968	2593
272	974	2595
273	977	2590
274	982	2591
275	994	2607
276	1006	2627
277	1022	2656
278	1041	2690
279	1046	2692
280	1057	2705
281	1088	2771
282	1094	2771
283	1097	2765
284	1105	2772
285	1111	2774
286	1120	2784
287	1123	2777
288	1125	2768
289	1128	2762
290	1133	2762
291	1136	2756
292	1139	2749
293	1143	2746
294	1152	2754
295	1160	2759
296	1172	2775
297	1182	2785
298	1185	2780
299	1202	2805
300	1214	2820
301	1221	2823
302	1225	2817
303	1227	2811
304	1231	2805
305	1234	2800
306	1237	2793
307	1240	2786
308	1244	2782
309	1252	2787
310	1257	2786
311	1276	2814
312	1284	2818
313	1286	2811
314	1289	2803
315	1296	2805
316	1299	2800
317	1302	2794
318	1315	2809
319	1320	2805
320	1331	2816
321	1339	2820
322	1343	2815
323	1345	2808
324	1349	2803
325	1358	2809
326	1363	2806
327	1377	2822
328	1380	2815
329	1383	2808
330	1391	2813
331	1395	2808
332	1398	2801
333	1403	2798
334	1410	2799
335	1413	2794
336	1420	2794
337	1435	2812
338	1440	2808
339	1443	2802
340	1449	2800
341	1453	2796
342	1455	2788
343	1461	2786
344	1480	2811
345	1487	2811
346	1496	2815
347	1500	2811
348	1512	2821
349	1522	2827
350	1526	2821
351	1533	2823
352	1537	2817
353	1549	2828
354	1566	2845
355	1569	2839
356	1573	2833
357	1578	2831
358	1583	2828
359	1586	2820
360	1589	2813
361	1595	2811
362	1599	2805
363	1601	2798
364	1605	2793
365	1609	2787
366	1615	2786
367	1620	2783
368	1624	2778
369	1630	2776
370	1633	2769
371	1637	2763
372	1641	2758
373	1644	2752
374	1650	2751
375	1653	2744
376	1656	2737
377	1659	2730
378	1661	2723
379	1667	2719
380	1669	2712
381	1675	2711
382	1678	2703
383	1685	2704
384	1692	2703
385	1697	2699
386	1703	2697
387	1707	2692
388	1709	2685
389	1718	2688
390	1731	2697
391	1739	2697
392	1743	2692
393	1747	2687
394	1751	2682
395	1754	2675
396	1756	2667
397	1763	2667
398	1766	2661
399	1772	2658
400	1775	2652
401	1778	2645
402	1783	2642
403	1786	2635
404	1790	2630
405	1794	2625
406	1797	2618
407	1800	2612
408	1809	2615
409	1812	2607
410	1814	2600
411	1824	2604
412	1828	2598
413	1831	2592
414	1835	2586
415	1842	2586
416	1845	2580
417	1851	2577
418	1855	2573
419	1858	2566
420	1860	2558
421	1867	2557
422	1869	2550
423	1872	2543
424	1874	2536
425	1879	2532
426	1882	2526
427	1885	2519
428	1887	2511
429	1889	2504
430	1891	2497
431	1898	2495
432	1900	2489
